TimeSinceFirstFrame(s), AngleAtTime(deg), dTime(1/2of30fps)(s), dAngle(0.01deg)
190.99	-0.0674	0.03	0.0009
191.66	0.0682	0.03	0.0009
192.33	-0.0672	0.03	0.0009
193.0	0.0669	0.03	0.0009
193.66	-0.0659	0.03	0.0009
194.36	0.0663	0.03	0.0009
195.03	-0.0651	0.03	0.0009
195.7	0.0655	0.03	0.0009
196.36	-0.0648	0.03	0.0009
197.03	0.0654	0.03	0.0009
197.7	-0.0642	0.03	0.0009
198.36	0.0642	0.03	0.0009
199.06	-0.0634	0.03	0.0009
199.73	0.0637	0.03	0.0009
200.4	-0.0626	0.03	0.0009
201.07	0.0626	0.03	0.0009
201.77	-0.062	0.03	0.0009
202.43	0.062	0.03	0.0009
203.1	-0.0618	0.03	0.0009
203.77	0.0617	0.03	0.0009
204.43	-0.0613	0.03	0.0009
205.1	0.0608	0.03	0.0009
205.77	-0.0603	0.03	0.0009
206.44	0.06	0.03	0.0009
207.14	-0.059	0.03	0.0009
207.8	0.0589	0.03	0.0009
208.47	-0.0587	0.03	0.0009
209.14	0.0584	0.03	0.0009
209.8	-0.0578	0.03	0.0009
210.47	0.0573	0.03	0.0009
211.17	-0.0568	0.03	0.0009
211.84	0.0572	0.03	0.0009
212.5	-0.057	0.03	0.0009
213.17	0.0572	0.03	0.0009
213.87	-0.0564	0.03	0.0009
214.51	0.0562	0.03	0.0009
215.21	-0.0559	0.03	0.0009
215.87	0.0557	0.03	0.0009
216.54	-0.0552	0.03	0.0009
217.21	0.0556	0.03	0.0009
217.87	-0.055	0.03	0.0009
218.54	0.0547	0.03	0.0009
219.24	-0.054	0.03	0.0009
219.91	0.0542	0.03	0.0009
220.58	-0.0536	0.03	0.0009
221.24	0.0535	0.03	0.0009
221.91	-0.053	0.03	0.0009
222.58	0.0532	0.03	0.0009
223.24	-0.0528	0.03	0.0009
223.94	0.0523	0.03	0.0009
224.61	-0.0519	0.03	0.0009
225.28	0.0521	0.03	0.0009
225.94	-0.0517	0.03	0.0009
226.61	0.0514	0.03	0.0009
227.28	-0.0513	0.03	0.0009
227.98	0.0508	0.03	0.0009
228.65	-0.0504	0.03	0.0009
229.31	0.05	0.03	0.0009
229.98	-0.0499	0.03	0.0009
230.65	0.0499	0.03	0.0009
231.35	-0.049	0.03	0.0009
232.01	0.0491	0.03	0.0009
232.68	-0.0485	0.03	0.0009
233.31	0.0485	0.03	0.0009
234.02	-0.0478	0.03	0.0009
234.68	0.0481	0.03	0.0009
235.35	-0.0477	0.03	0.0009
236.05	0.0469	0.03	0.0009
236.68	-0.0464	0.03	0.0009
237.38	0.0464	0.03	0.0009
238.05	-0.0468	0.03	0.0009
238.72	0.0467	0.03	0.0009
239.42	-0.0466	0.03	0.0009
240.08	0.0462	0.03	0.0009
240.75	-0.0456	0.03	0.0009
241.42	0.0456	0.03	0.0009
242.09	-0.0448	0.03	0.0009
242.72	0.0448	0.03	0.0009
243.45	-0.0447	0.03	0.0009
244.09	0.0445	0.03	0.0009
244.79	-0.0449	0.03	0.0009
245.42	0.0445	0.03	0.0009
246.09	-0.0443	0.03	0.0009
246.79	0.0439	0.03	0.0009
247.46	-0.044	0.03	0.0009
248.12	0.0433	0.03	0.0009
248.82	-0.043	0.03	0.0009
249.46	0.0425	0.03	0.0009
250.16	-0.0427	0.03	0.0009
250.82	0.042	0.03	0.0009
251.46	-0.0424	0.03	0.0009
252.16	0.0423	0.03	0.0009
252.82	-0.0422	0.03	0.0009
253.49	0.0417	0.03	0.0009
254.19	-0.0418	0.03	0.0009
254.86	0.041	0.03	0.0009
255.53	-0.0408	0.03	0.0009
256.19	0.0405	0.03	0.0009
256.79	-0.0395	0.03	0.0009
257.53	0.0392	0.03	0.0009
258.19	-0.0397	0.03	0.0009
258.86	0.0394	0.03	0.0009
259.56	-0.0401	0.03	0.0009
260.19	0.0392	0.03	0.0009
260.9	-0.0394	0.03	0.0009
261.53	0.039	0.03	0.0009
262.23	-0.0393	0.03	0.0009
262.9	0.0391	0.03	0.0009
263.56	-0.039	0.03	0.0009
264.23	0.0383	0.03	0.0009
264.93	-0.0382	0.03	0.0009
265.6	0.0379	0.03	0.0009
266.26	-0.038	0.03	0.0009
266.93	0.0373	0.03	0.0009
267.6	-0.0376	0.03	0.0009
268.27	0.0364	0.03	0.0009
268.97	-0.0371	0.03	0.0009
269.63	0.0364	0.03	0.0009
270.3	-0.0369	0.03	0.0009
270.97	0.0362	0.03	0.0009
271.6	-0.0365	0.03	0.0009
272.3	0.0361	0.03	0.0009
272.97	-0.0362	0.03	0.0009
273.67	0.036	0.03	0.0009
274.3	-0.0361	0.03	0.0009
275.0	0.0355	0.03	0.0009
275.67	-0.0359	0.03	0.0009
276.37	0.0354	0.03	0.0009
277.04	-0.0356	0.03	0.0009
277.7	0.0353	0.03	0.0009
278.37	-0.0351	0.03	0.0009
279.04	0.0348	0.03	0.0009
279.7	-0.0346	0.03	0.0009
280.37	0.0342	0.03	0.0009
281.04	-0.0345	0.03	0.0009
281.71	0.0338	0.03	0.0009
282.41	-0.0338	0.03	0.0009
283.07	0.0332	0.03	0.0009
283.74	-0.0336	0.03	0.0009
284.41	0.0327	0.03	0.0009
285.07	-0.033	0.03	0.0009
